Gifu (Japan)	KES-IDT 2012,ER 2016,,
Glasgow, Scotland, UK	CIKM 2011,,
Glasgow, UK	SISAP 2015,,
Goa, India	ICACNI 2017,,
Gold Coast	ADMA 2016,,
Graz, Austria	ALatIKNOW 2016,ODBASE 2013,,
Guangzhou	Smart X 2017,,
Guangzhou, China	ICDME - IOP 2017,ACM--ICDPA 2018,APWeb 2014,ICONIP 2017,,
Guayaquil, Ecuador	CITI 2016,,
Guilin	ICIIP 2018,,
Guilin, China	IDEAL 2017,,
Guiyang, China	ICCSP  2018,,
Halifax, Nova Scotia - Canada	Fashion-ML-KDD 2017,,
Hamilton, New Zealand	ACML 2016,,
Hammamet, Tunisia	Workshop on Massive Dataflow Analysis 2017,,
Hangzhou, China	ICBDT 2018,CCIS 2017,IDEAL 2016,VLDB 2014,,
Hanoi, Vietnam	ICIIT 2018,Ei - ICBCT 2018,IES 2017,DASFAA (Demo Track) 2015,,
Hasselt, Belgium	IUPT 2014,,
Hawaii, USA	AIAAT 2017,AIAAT 2017,ICISIP 2017,,
Hefei, China	ICMRA 2018,,
Helsinki, Finland	IEEE FRUCT 2017,ICDE 2016,,
Ho Chi Minh City, Vietnam	FDSE 2014,,
Ho Chi Minh, Vietnam	ICMCR  2018,,
Hobart, Australia	AI 2016,,
Hong Kong	ICBEA--Ei 2017,ICIGP 2018,ICVR-Ei 2018,ICTTE 2017,ICROM-Ei 2017,EI--CMVIT 2018,CAIIT 2017,,
Honolulu, Hawaii, USA	AIMS 2017,IEEE CISDA 2017,IEEE SSCI 2017,ICBDE 2018,,
Hua-Hin, Prachuapkirikan,Thailand	iSAI-NLP 2017,,
Hyderabad, India	BDA 2017,COMAD 2014,,
ICDM17, New Orleans, USA	ACUMEN 2017,,
IDRBT, Hyderabad, India	MIKE 2017,,
Incheon, Korea	EDB 2011,,
India	ICICT 2017,,
Indianapolis, Indiana, USA	NetCrime 2017,,
Irbid, Jordan	iCICS 2013,iCICS 2014,,
Isfahan, Iran	MVIP 2017,,
Islamabad	ICDIM 2013,,
Istanbul, Turkey	ICCTD2018,ICKSE 2018,VLDB 2012,,
Jaipur, India	ICSCE 2017,IEEE-SITIS2017: MIRA 2017,,
Jeju Island, Korea	PAKDD 2017,,
Jeju Island, South Korea	ICACS - EI 2017,ICISS 2018,,
Jinan, China	ICMLT 2018,,
KAIST, Daejeon, KOREA	RiTA 2017,,
Kalbis Institute, Jakarta, Indonesia	CSAI 2017,,
Kaohsiung, Taiwan	IDAM 2014,FDML 2011,ACIIDS 2012,,
Kazan, Russia	SYRCoDIS 2013,,
Khenchela, Algeria	PAIS&apos;2016,,
Kitakyushu, Japan	ICRMV - Ei 2017,ISAIR 2017,ICRCA - Ei 2017,,
Klagenfurt	MaLTeSQuE 2017,,
Kochi	ICDSE 2016,,
Kochi, Kerala	ICIS- 2016,,
Kohala Coast, Hawaii, USA	VLDB 2015,,
Kolkata	IEMIS 2018,,
Kolkata, India	PReMI 2017,,
Kortrijk, Belgium	EI-ICDES 2017,,
Krabi, Thailand	ACIS 2016,,
Krakow, Poland	TFML 2017,ICIII 2017,ECDMO 2018,,
Kuala Lumpur	SCDS 2016,,
